"y(x), created by Plot Digitizer, 2.6.9"
"Date: 4/26/23, 11:37:55 PM"


70
x,y
-681.692,7.85594,
-679.559,7.85647,
-677.159,7.86451,
-673.159,7.86550,
-669.561,7.88129,
-665.294,7.87490,
-660.760,7.86858,
-658.227,7.87665,
-654.494,7.88503,
-651.560,7.87831,
-650.494,7.88602,
-650.481,7.71480,
-650.200,7.53620,
-649.916,7.32037,
-649.769,7.14919,
-649.754,6.95563,
-649.605,6.76211,
-649.189,6.56121,
-649.041,6.37513,
-649.028,6.21136,
-648.615,6.04768,
-648.342,5.96586,
-646.881,6.04066,
-645.828,6.21215,
-645.442,6.39091,
-644.262,6.63688,
-643.345,6.84555,
-642.422,6.97978,
-640.969,7.14393,
-639.380,7.28577,
-637.657,7.41275,
-634.462,7.48055,
-631.669,7.56313,
-629.139,7.60842,
-626.609,7.64627,
-622.612,7.69193,
-619.013,7.70027,
-615.681,7.71599,
-612.216,7.73918,
-609.150,7.74739,
-605.284,7.75579,
-602.753,7.77875,
-598.886,7.77971,
-594.619,7.78077,
-591.022,7.81144,
-587.556,7.82719,
-583.156,7.82828,
-578.492,7.85177,
-573.558,7.85300,
-569.159,7.85409,
-564.093,7.87024,
-558.894,7.87897,
-553.561,7.88029,
-548.629,7.89641,
-543.829,7.89760,
-539.028,7.88390,
-534.228,7.89254,
-529.828,7.89363,
-524.628,7.89492,
-520.096,7.90349,
-515.829,7.90455,
-511.563,7.90560,
-507.695,7.89912,
-502.229,7.90792,
-498.763,7.90878,
-495.697,7.92443,
-491.298,7.92552,
-489.030,7.91864,
-485.163,7.91216,
-483.164,7.92010,
