"y(x), created by Plot Digitizer, 2.6.9"
"Date: 4/26/23, 11:44:56 PM"


61
x,y
-279.299,7.94091,
-275.698,7.93436,
-272.366,7.94263,
-267.967,7.95861,
-263.966,7.95216,
-258.367,7.96099,
-253.836,7.98445,
-250.368,7.97042,
-247.833,7.94872,
-247.552,7.77012,
-247.535,7.55423,
-247.382,7.31604,
-247.227,7.04063,
-247.072,6.77266,
-247.051,6.49722,
-246.766,6.26651,
-246.223,6.14753,
-245.164,6.24457,
-244.644,6.41593,
-243.859,6.60968,
-243.208,6.80340,
-242.422,6.97482,
-241.637,7.16113,
-239.785,7.35515,
-237.932,7.51939,
-236.609,7.64627,
-233.284,7.75132,
-229.421,7.79695,
-226.489,7.82001,
-223.292,7.85058,
-218.629,7.89641,
-214.894,7.88244,
-211.161,7.89082,
-207.564,7.92149,
-201.697,7.91550,
-197.032,7.93899,
-191.965,7.94025,
-187.167,7.95633,
-183.432,7.94236,
-177.966,7.95116,
-172.767,7.95990,
-167.433,7.94633,
-162.767,7.95494,
-157.835,7.97105,
-153.835,7.97949,
-149.302,7.98061,
-144.368,7.96695,
-140.236,7.99031,
-136.102,7.97644,
-131.570,7.99246,
-127.036,7.99358,
-122.636,7.98723,
-117.436,7.98852,
-112.902,7.98220,
-107.836,7.98346,
-103.570,7.99940,
-99.0363,7.99308,
-94.1030,7.99431,
-89.0359,7.98812,
-84.9032,7.99659,
-81.1711,8.01241,
