"y(x), created by Plot Digitizer, 2.6.9"
"Date: 4/26/23, 11:47:05 PM"


110
x,y
-76.5028,7.99123,
-74.2356,7.98435,
-70.9029,7.99262,
-66.9024,7.98617,
-62.7697,7.99464,
-59.3025,7.98806,
-54.7693,7.98918,
-50.2366,7.99775,
-47.7028,7.99093,
-45.3022,7.98409,
-45.1499,7.74590,
-44.6012,7.55247,
-44.4483,7.30684,
-44.1609,7.04635,
-44.1413,6.80069,
-43.9885,6.55506,
-43.8362,6.31687,
-43.5476,6.04149,
-43.5292,5.81071,
-43.3769,5.57253,
-43.4883,5.29705,
-43.0670,5.02915,
-42.9123,4.76118,
-42.6261,4.51558,
-42.3399,4.26998,
-42.3198,4.01687,
-42.1716,3.83080,
-41.8848,3.57775,
-41.5974,3.31726,
-41.3100,3.05678,
-40.8893,2.79632,
-40.8691,2.54321,
-40.4502,2.30509,
-40.0306,2.05952,
-39.8795,1.83622,
-39.0570,1.55353,
-38.7690,1.28560,
-38.2144,1.01773,
-37.6609,0.764757,
-36.5729,0.497022,
-36.4200,0.251390,
-35.8689,0.0281895,
-34.7869,-0.165101,
-33.7119,-0.269058,
-32.7887,-0.142271,
-31.8696,0.0366265,
-31.4856,0.237725,
-30.9665,0.416523,
-30.4498,0.625099,
-30.2003,0.841053,
-29.6830,1.04219,
-29.1680,1.27309,
-28.9179,1.48160,
-28.6702,1.71989,
-28.0231,1.96572,
-27.2427,2.21159,
-26.7278,2.44250,
-25.8110,2.65117,
-25.4276,2.85971,
-24.3800,3.09820,
-23.6019,3.37384,
-22.2870,3.60495,
-21.2363,3.80621,
-20.0518,4.00007,
-18.8666,4.18647,
-17.4154,4.38039,
-16.3588,4.50721,
-15.1689,4.63407,
-13.7123,4.76098,
-12.5248,4.91761,
-10.9361,5.05946,
-9.08664,5.27581,
-7.76933,5.47714,
-5.91633,5.64882,
-4.06451,5.83540,
-1.68056,6.03699,
1.10279,6.24613,
3.62363,6.40309,
5.88077,6.52276,
8.93790,6.64263,
11.7272,6.77733,
14.9194,6.87490,
18.1140,6.94269,
21.4414,7.01797,
24.9020,7.09327,
28.7633,7.16123,
32.6234,7.24408,
36.6203,7.28229,
41.0155,7.34294,
44.3446,7.39588,
48.0761,7.41914,
52.8718,7.47244,
57.1355,7.51072,
62.0675,7.52683,
65.1306,7.57226,
68.7305,7.57315,
71.3953,7.59615,
75.3923,7.63436,
79.1250,7.64273,
82.7237,7.65852,
86.4546,7.68922,
90.8527,7.71265,
95.3848,7.72866,
99.5157,7.75946,
103.648,7.77538,
107.114,7.78368,
110.846,7.79950,
115.645,7.81558,
119.110,7.83133,
121.643,7.83195,
