"y(x), created by Plot Digitizer, 2.6.9"
"Date: 4/26/23, 11:43:35 PM"


50
x,y
-480.363,7.90590,
-476.362,7.89945,
-473.030,7.91517,
-468.897,7.92364,
-464.630,7.91725,
-460.364,7.91831,
-455.964,7.91940,
-451.698,7.92791,
-449.697,7.91351,
-449.417,7.74980,
-448.474,7.63092,
-447.664,7.50457,
-446.196,7.48260,
-444.324,7.42350,
-442.588,7.38671,
-440.325,7.43194,
-436.858,7.43280,
-432.991,7.41887,
-429.790,7.41222,
-425.790,7.40577,
-422.461,7.46615,
-418.065,7.51191,
-413.804,7.58741,
-408.473,7.61852,
-403.545,7.67929,
-398.214,7.71784,
-393.149,7.73399,
-388.218,7.76499,
-384.219,7.77343,
-378.887,7.78964,
-373.154,7.79106,
-367.157,7.83722,
-361.025,7.85363,
-354.226,7.86276,
-349.960,7.87126,
-344.893,7.87252,
-340.092,7.85138,
-335.827,7.88221,
-331.428,7.88330,
-327.294,7.88433,
-321.828,7.89313,
-317.030,7.90921,
-313.163,7.91017,
-306.896,7.91173,
-303.163,7.91265,
-299.429,7.89869,
-294.362,7.89995,
-289.831,7.93085,
-286.096,7.90200,
-282.230,7.91785,
