"y(x), created by Plot Digitizer, 2.6.9"
"Date: 4/26/23, 11:17:06 PM"


30
x,y
0.103469,1.00551,
0.182493,1.00483,
0.261517,1.00416,
0.341703,1.00347,
0.420727,1.00280,
0.499751,1.01918,
0.499749,0.968010,
0.578776,1.03557,
0.578774,1.00145,
0.658958,0.949595,
0.737984,1.00009,
0.817008,1.01648,
1.26211,1.31972,
1.34113,1.09729,
1.42014,0.874872,
1.49916,0.737738,
1.57819,1.04410,
1.65839,1.16282,
2.26384,1.02119,
2.34169,0.628206,
2.42070,0.371669,
2.50089,0.336870,
2.57992,0.540887,
2.65895,0.813134,
3.49941,7.10021,
3.42044,8.49961,
3.49947,8.63540,
3.57852,9.31703,
3.49965,13.2239,
3.49974,15.4755,
