"y(x), created by Plot Digitizer, 2.6.9"
"Date: 4/26/23, 11:05:52 PM"


89
x,y
-710.445,15.8784,
-708.949,15.8725,
-707.352,15.8721,
-705.756,15.8717,
-703.062,15.8766,
-700.367,15.8814,
-697.973,15.8808,
-695.678,15.8748,
-693.084,15.8686,
-690.889,15.8736,
-687.994,15.8839,
-685.601,15.8668,
-682.907,15.8716,
-680.712,15.8656,
-679.116,15.8652,
-678.929,15.7052,
-678.838,15.5949,
-678.846,15.5011,
-678.854,15.3909,
-678.867,15.2364,
-678.780,15.0765,
-678.892,14.9166,
-678.504,14.7841,
-678.420,14.5856,
-678.332,14.4422,
-678.243,14.3098,
-677.850,14.2325,
-676.956,14.1771,
-676.063,14.1218,
-675.154,14.2484,
-674.645,14.3806,
-673.935,14.5238,
-673.524,14.6726,
-672.917,14.7828,
-671.909,14.9039,
-671.500,15.0306,
-670.294,15.1351,
-669.188,15.2451,
-668.283,15.3221,
-666.877,15.4375,
-665.177,15.4868,
-662.978,15.5414,
-660.481,15.5738,
-657.983,15.6063,
-655.187,15.6442,
-651.894,15.6490,
-648.299,15.6756,
-645.006,15.6859,
-641.412,15.7070,
-638.319,15.7118,
-635.623,15.7277,
-632.829,15.7380,
-629.634,15.7593,
-626.241,15.7695,
-623.546,15.7799,
-620.752,15.7847,
-617.559,15.7894,
-614.764,15.7943,
-611.571,15.7990,
-608.578,15.7983,
-605.185,15.8029,
-601.792,15.8131,
-597.802,15.8011,
-594.209,15.8113,
-590.717,15.8104,
-587.922,15.8153,
-584.430,15.8199,
-581.037,15.8191,
-577.844,15.8238,
-574.153,15.8174,
-571.059,15.8222,
-567.068,15.8267,
-563.675,15.8259,
-559.884,15.8194,
-557.090,15.8298,
-553.198,15.8288,
-550.904,15.8282,
-548.309,15.8276,
-544.917,15.8323,
-541.524,15.8370,
-538.530,15.8362,
-535.338,15.8355,
-532.145,15.8292,
-529.551,15.8340,
-525.859,15.8331,
-522.166,15.8433,
-518.574,15.8424,
-515.881,15.8362,
-512.988,15.8300,
