"y(x), created by Plot Digitizer, 2.6.9"
"Date: 4/26/23, 11:08:57 PM"


66
x,y
-309.945,15.7582,
-306.752,15.7574,
-303.559,15.7566,
-300.266,15.7558,
-296.575,15.7549,
-292.883,15.7540,
-289.291,15.7586,
-285.299,15.7576,
-280.811,15.7400,
-278.616,15.7394,
-278.631,15.5464,
-278.446,15.3699,
-278.365,15.1328,
-277.880,14.9672,
-277.499,14.7300,
-277.617,14.5039,
-277.335,14.2888,
-277.049,14.1232,
-276.561,13.9853,
-275.953,14.1009,
-275.544,14.2277,
-274.933,14.3819,
-274.321,14.5472,
-273.909,14.7070,
-273.300,14.8337,
-272.291,14.9769,
-271.081,15.1310,
-269.975,15.2410,
-268.370,15.3509,
-266.666,15.4442,
-264.467,15.4933,
-262.167,15.5589,
-258.872,15.5912,
-255.278,15.6124,
-251.585,15.6225,
-248.092,15.6327,
-244.399,15.6483,
-239.808,15.6638,
-236.216,15.6629,
-232.324,15.6730,
-228.432,15.6830,
-224.041,15.6875,
-220.050,15.6865,
-215.161,15.6908,
-210.171,15.6951,
-205.881,15.6996,
-200.792,15.6983,
-195.902,15.7081,
-190.714,15.7069,
-186.424,15.7003,
-181.135,15.7100,
-175.448,15.6976,
-170.159,15.7073,
-164.771,15.7171,
-160.780,15.7106,
-155.791,15.7149,
-150.901,15.7247,
-146.411,15.7236,
-141.422,15.7279,
-136.632,15.7267,
-130.945,15.7253,
-127.054,15.7244,
-123.462,15.7235,
-119.770,15.7281,
-116.378,15.7217,
-112.587,15.7153,
