"y(x), created by Plot Digitizer, 2.6.9"
"Date: 4/26/23, 11:07:13 PM"


56
x,y
-509.995,15.8237,
-507.400,15.8341,
-504.506,15.8334,
-501.613,15.8327,
-498.320,15.8319,
-494.728,15.8310,
-491.236,15.8302,
-487.445,15.8292,
-484.251,15.8340,
-481.158,15.8332,
-478.164,15.8380,
-476.572,15.7825,
-473.981,15.7432,
-471.889,15.7041,
-469.196,15.6979,
-465.604,15.6915,
-461.613,15.6850,
-458.321,15.6842,
-454.728,15.6889,
-451.136,15.6935,
-448.542,15.6929,
-444.848,15.7195,
-440.857,15.7186,
-436.963,15.7452,
-433.172,15.7498,
-429.280,15.7543,
-425.386,15.7809,
-421.695,15.7690,
-417.605,15.7625,
-413.814,15.7616,
-410.222,15.7607,
-406.031,15.7652,
-402.039,15.7752,
-398.448,15.7633,
-394.357,15.7623,
-389.967,15.7557,
-385.876,15.7602,
-381.485,15.7647,
-377.495,15.7582,
-373.702,15.7683,
-370.409,15.7730,
-366.618,15.7720,
-362.726,15.7711,
-358.537,15.7590,
-355.143,15.7692,
-351.652,15.7573,
-347.461,15.7674,
-343.968,15.7665,
-339.678,15.7654,
-335.787,15.7645,
-331.496,15.7634,
-327.505,15.7625,
-324.412,15.7617,
-320.122,15.7607,
-316.829,15.7654,
-312.339,15.7587,
