"y(x), created by Plot Digitizer, 2.6.9"
"Date: 4/26/23, 11:20:31 PM"


33
x,y
0.102050,1.01088,
0.182294,0.985285,
0.261666,0.985285,
0.340166,0.959693,
0.420410,1.01088,
0.419538,0.946897,
0.498910,1.01088,
0.499782,0.934101,
0.579154,0.998081,
0.658526,1.02367,
0.737898,0.972489,
0.816398,0.985285,
1.26123,0.486244,
1.34060,0.255918,
1.41997,0.179143,
1.49847,0.102367,
1.57872,0.268714,
1.65722,0.345489,
1.73746,0.614203,
2.26167,0.806142,
2.34191,0.690979,
2.42128,0.639795,
2.50065,0.486244,
2.58003,0.665387,
2.65940,0.780550,
2.73877,0.908509,
3.50022,13.9091,
3.50109,23.1734,
3.50109,25.8093,
3.50022,32.3225,
3.42172,33.1414,
3.50022,34.2546,
3.50109,36.1356,
