"y(x), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 11:33:30 AM"


24
x,y
-363.194,32.7278,
-329.696,32.7263,
-329.296,31.8783,
-329.339,30.3913,
-328.970,28.4738,
-328.432,21.3778,
-328.008,21.3776,
-327.334,22.6947,
-326.873,23.9859,
-325.969,25.9159,
-325.078,27.4025,
-324.210,28.1195,
-321.421,29.2531,
-318.849,30.2303,
-316.071,30.9725,
-312.351,31.3361,
-306.725,31.5815,
-300.254,31.7483,
-286.891,31.9512,
-269.816,32.2438,
-245.109,32.4808,
-225.284,32.5635,
-201.113,32.6052,
-148.744,32.6476,
