"y(x), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 11:32:14 AM"


48
x,y
-627.986,33.2082,
-594.487,33.2328,
-593.555,32.4497,
-593.253,31.8887,
-592.744,31.1711,
-592.027,30.2838,
-591.206,29.3443,
-589.640,28.5089,
-588.064,28.0125,
-586.380,27.5944,
-584.479,27.3457,
-583.416,27.4757,
-582.030,27.7229,
-581.279,28.0617,
-580.846,28.3746,
-579.999,28.3351,
-579.154,28.2304,
-577.876,28.4255,
-576.489,28.7249,
-574.994,29.1025,
-573.923,29.5064,
-572.958,29.8712,
-572.207,30.1709,
-571.458,30.4184,
-569.649,30.6524,
-568.054,30.8473,
-566.248,30.9639,
-564.656,31.0415,
-562.954,31.2495,
-561.147,31.4182,
-559.339,31.6261,
-556.683,31.8076,
-554.030,31.9108,
-550.103,32.0917,
-545.647,32.2072,
-542.357,32.3362,
-537.054,32.4252,
-529.098,32.6434,
-522.205,32.7057,
-512.132,32.8056,
-503.544,32.8541,
-493.366,32.8888,
-482.340,32.9362,
-471.633,32.9315,
-460.396,32.9527,
-450.113,32.9613,
-441.102,32.9835,
-413.646,32.9715,
