"y(x), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 11:35:12 AM"


43
x,y
-144.502,32.7110,
-110.050,32.6960,
-109.633,32.4611,
-108.839,30.5694,
-108.320,26.4996,
-106.625,15.3726,
-105.672,11.6678,
-104.798,8.86302,
-103.905,6.72347,
-101.576,2.93981,
-99.7169,1.23028,
-99.0903,0.903918,
-98.1403,0.760025,
-97.0702,1.11174,
-96.2131,1.42441,
-94.2526,3.24967,
-93.1457,4.87964,
-91.9235,6.83566,
-91.0114,9.06572,
-89.3029,13.1868,
-87.9473,16.0949,
-86.0744,18.5593,
-82.7901,22.1841,
-81.7102,22.8749,
-80.1059,23.3699,
-77.7554,24.0080,
-76.7890,24.4380,
-74.7457,25.4545,
-71.8404,26.9533,
-69.4832,27.8262,
-66.7113,28.3728,
-64.6822,28.8937,
-62.3303,29.5839,
-59.2430,30.0391,
-47.0328,30.7121,
-36.4184,31.1901,
-24.9593,31.5503,
-12.2307,31.8187,
-0.564490,32.0093,
12.6911,32.1731,
21.0674,32.2347,
47.4692,32.4449,
69.7312,32.4613,
