"y(x), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 11:37:59 AM"


39
x,y
-654.573,-21.4331,
-619.803,-21.4482,
-619.066,-21.6181,
-618.227,-21.9315,
-617.392,-22.4145,
-617.090,-22.9494,
-616.472,-23.5758,
-615.867,-24.6587,
-614.564,-27.2941,
-613.668,-29.3032,
-612.557,-31.2211,
-611.144,-33.7000,
-610.126,-35.1483,
-608.884,-36.2053,
-607.841,-36.8058,
-606.367,-37.1456,
-605.203,-37.2243,
-603.815,-36.8988,
-602.424,-36.4299,
-601.562,-35.9346,
-600.691,-35.1654,
-599.710,-34.2136,
-598.726,-33.1706,
-597.848,-32.1275,
-596.858,-30.8757,
-596.085,-29.7934,
-594.876,-28.2939,
-593.672,-26.9901,
-592.473,-25.8297,
-590.200,-24.2133,
-588.264,-23.2228,
-585.378,-22.4154,
-582.185,-21.9733,
-578.998,-21.7268,
-575.072,-21.5981,
-569.452,-21.5223,
-562.879,-21.5252,
-554.927,-21.4764,
-439.805,-21.5134,
