"y(x), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 1:53:39 PM"


43
x,y
0.139851,0.909951,
0.139854,1.04656,
0.231669,1.38757,
0.231657,0.818354,
0.230242,0.727287,
0.320635,0.590160,
0.320638,0.749541,
0.322055,0.954451,
0.320649,1.22768,
0.412454,1.09055,
0.412452,0.999474,
0.412443,0.589638,
0.501417,0.202064,
0.501433,0.930661,
0.501437,1.11281,
0.590419,1.06677,
0.589004,0.930163,
0.591822,0.611385,
0.680821,1.33948,
0.682225,0.975170,
0.682222,0.838558,
0.771225,1.74880,
0.772622,1.04296,
0.771205,0.838051,
0.860194,1.08800,
0.860190,0.928619,
1.23028,2.42924,
1.31926,2.29213,
1.41105,1.42639,
1.50009,4.06705,
1.50144,1.17542,
1.59044,1.83521,
1.68084,2.35837,
2.31937,7.34108,
2.40974,6.01998,
2.50154,5.81454,
2.50021,9.54861,
2.59055,7.04354,
3.50104,15.3831,
3.50128,26.2779,
3.41021,27.4396,
3.50159,40.4514,
3.49953,43.1495,
