"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 2:12:16 PM"


29
X,Y
-620.372,3.72716,
-563.572,3.77632,
-561.228,3.67397,
-548.086,3.66784,
-546.120,3.53615,
-543.349,3.27999,
-539.311,2.59903,
-537.351,2.48931,
-536.537,2.32821,
-535.303,2.03528,
-533.355,1.97685,
-531.440,2.04296,
-529.978,2.37277,
-528.470,2.51943,
-526.578,2.68078,
-524.683,2.82748,
-523.152,2.88623,
-519.648,2.78398,
-518.909,2.91592,
-517.406,3.08456,
-515.128,3.24594,
-509.363,3.37102,
-503.207,3.48147,
-496.656,3.55533,
-485.070,3.58570,
-466.529,3.62403,
-417.073,3.67252,
-327.809,3.71732,
-249.360,3.73916,
