"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 2:07:28 PM"


27
X,Y
-1765.52,3.83475,
-1708.33,3.86196,
-1706.13,1.28335,
-1703.24,-0.936216,
-1700.11,-1.07513,
-1699.71,-1.14103,
-1698.15,-1.19217,
-1694.28,-1.21379,
-1690.41,-1.25739,
-1689.68,-1.08882,
-1687.44,-0.773593,
-1686.05,-0.165393,
-1683.11,0.435623,
-1678.65,1.13202,
-1670.66,1.63093,
-1658.75,1.92507,
-1640.67,2.24175,
-1624.51,2.50697,
-1608.33,2.71359,
-1589.45,2.94243,
-1568.63,3.14214,
-1540.47,3.34985,
-1513.84,3.49149,
-1484.88,3.58938,
-1450.50,3.68044,
-1422.30,3.72698,
-1393.71,3.76623,
