"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 2:22:29 PM"


35
X,Y
-592.963,15.8428,
-538.806,15.8478,
-535.690,15.8452,
-536.342,14.5208,
-536.808,12.1770,
-535.821,9.29694,
-535.260,8.20083,
-533.843,9.44814,
-532.472,10.4662,
-530.610,11.9934,
-526.487,13.1365,
-523.664,13.6182,
-518.196,13.6900,
-517.108,13.2814,
-517.583,12.8486,
-513.278,12.9469,
-511.796,12.5634,
-509.099,12.4083,
-508.386,12.0764,
-504.951,11.7168,
-504.207,11.5378,
-502.123,12.2240,
-498.921,12.6544,
-495.061,12.4728,
-487.897,13.2311,
-478.831,13.7585,
-467.833,14.2078,
-452.616,14.3222,
-447.567,14.2415,
-441.673,14.4913,
-418.270,14.6243,
-391.346,14.8308,
-341.049,15.0174,
-312.592,15.0951,
-219.455,15.1944,
