"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/29/23, 1:10:43 PM"


28
X,Y
-199.645,15.6393,
-146.018,15.5540,
-145.547,-2.94988,
-143.128,-3.42067,
-140.682,-3.79796,
-137.495,-4.02034,
-134.003,-3.99370,
-131.601,-3.71623,
-130.997,-3.23378,
-129.411,-2.56554,
-117.345,5.44676,
-113.373,7.14072,
-109.071,8.36661,
-103.434,9.38811,
-94.5520,10.3898,
-84.3260,11.2183,
-76.2570,11.8158,
-64.4777,12.3928,
-54.6096,12.7853,
-37.4949,13.3398,
-22.5416,13.6478,
-5.51668,13.8906,
12.9147,14.1785,
35.9670,14.3823,
71.3334,14.6014,
95.9795,14.6941,
128.524,14.7921,
172.668,14.8439,
