"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 2:20:38 PM"


27
X,Y
-1362.61,16.9552,
-1306.13,16.8817,
-1305.44,16.4734,
-1303.25,15.6817,
-1301.60,16.1644,
-1299.99,16.4433,
-1298.40,16.5949,
-1294.88,16.6428,
-1289.82,16.6385,
-1289.48,16.3835,
-1287.66,15.7194,
-1285.43,15.1825,
-1280.74,15.2804,
-1278.02,15.2526,
-1274.55,15.0458,
-1272.25,14.8400,
-1268.27,15.2698,
-1261.94,15.7486,
-1254.49,15.9970,
-1248.63,16.0685,
-1245.47,16.2951,
-1237.29,16.3136,
-1218.16,16.5012,
-1187.75,16.6028,
-1163.58,16.6587,
-1102.41,16.6577,
-989.049,16.5869,
