"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/29/23, 1:39:39 PM"


42
X,Y
0.202883,1.04257,
0.199865,0.979043,
0.300939,1.02302,
0.300719,0.975048,
0.398764,0.952905,
0.401781,1.01643,
0.499915,1.01374,
0.499612,0.947614,
0.597858,0.969554,
0.603537,1.01882,
0.698998,1.02780,
0.698766,0.977229,
0.802685,1.04714,
0.799662,0.982310,
1.50602,1.63247,
1.50559,0.942680,
1.49946,0.796172,
1.59963,0.643071,
1.50124,0.588716,
1.40585,0.595298,
1.49807,0.492772,
2.40284,1.01047,
2.50379,1.02592,
2.50349,0.961094,
2.40503,0.892477,
2.50308,0.871630,
2.50541,0.786053,
2.60409,0.902643,
3.50459,1.08193,
3.50180,0.472541,
3.60241,0.416683,
3.49859,0.368817,
3.50087,0.271571,
3.39984,0.236668,
3.50332,0.210629,
4.50606,0.689326,
4.40260,0.719255,
4.50109,0.794355,
4.60201,0.804623,
4.50725,0.948643,
4.50502,1.05756,
4.50539,1.13665,
