"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 2:31:16 PM"


46
X,Y
0.102041,0.998458,
0.204082,0.993347,
0.302041,1.00982,
0.303401,0.987667,
0.400000,1.00584,
0.400000,0.972333,
0.499320,1.00073,
0.499320,0.949615,
0.598639,0.980284,
0.601361,1.00527,
0.697959,1.00755,
0.699320,0.987667,
0.797279,1.01777,
0.800000,0.992779,
1.29932,0.0522515,
1.40136,0.0471400,
1.39864,0.0897363,
1.49796,0.0755375,
1.49796,0.0193103,
1.59728,0.0488438,
1.59728,0.0942799,
1.69796,0.0675862,
2.49660,1.21542,
2.49796,1.09274,
2.20136,1.03992,
2.29796,1.02345,
2.40000,1.00471,
2.49932,0.997322,
2.59592,1.01720,
2.69660,1.02686,
3.49660,0.395294,
3.49388,0.508316,
3.39592,0.539554,
3.49796,0.590101,
3.59864,0.623611,
3.49796,0.650872,
3.39592,0.688925,
3.49660,0.710507,
4.49388,0.972333,
4.39456,1.01606,
4.39592,1.03310,
4.49388,1.02856,
4.58912,1.03026,
4.69252,1.04162,
4.49252,1.14158,
4.49660,1.24949,
