"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 2:33:23 PM"


42
X,Y
0.198137,1.01919,
0.298919,0.989640,
0.396986,0.946452,
0.402413,0.976010,
0.398294,1.02944,
0.494923,1.10391,
0.496338,1.02149,
0.497733,0.970337,
0.499144,0.894738,
0.598494,0.973190,
0.597097,1.02662,
0.696481,1.05278,
0.697890,0.980023,
0.797272,1.00902,
1.49780,0.0274541,
1.39838,0.0564318,
1.49765,0.259366,
1.49889,0.443532,
1.49749,0.506057,
1.59824,0.525963,
1.49833,1.30013,
2.49681,0.721031,
2.49810,0.823345,
2.39595,0.862554,
2.50079,0.879050,
2.59607,0.924534,
2.49801,0.959196,
2.39861,0.962595,
3.49666,0.116354,
3.39588,0.142489,
3.49796,0.200479,
3.39718,0.231730,
3.49656,0.266415,
3.59594,0.289731,
3.59735,0.228342,
4.49722,0.506967,
4.49573,0.703069,
4.49295,0.789467,
4.39763,0.791730,
4.49700,0.846878,
4.59501,0.893499,
4.49558,0.932708,
