"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 2:43:34 PM"


42
X,Y
0.166333,1.02025,
0.166282,0.997499,
0.280445,1.01567,
0.283938,0.982685,
0.390971,1.00200,
0.390913,0.975836,
0.505091,1.00083,
0.501461,0.972399,
0.615653,1.00308,
0.619163,0.978059,
0.726240,1.01671,
0.726194,0.996234,
0.843944,1.02351,
0.840321,0.998483,
1.50146,0.0167201,
1.39095,0.0360817,
1.38391,0.0793061,
1.50873,0.0758654,
1.50175,0.144114,
1.61217,0.0826665,
1.61924,0.0542289,
2.50607,1.11754,
2.50236,1.05498,
2.49868,1.00607,
2.61643,1.03334,
2.50203,0.908247,
2.39150,0.918509,
2.50192,0.859337,
3.49922,0.289252,
3.49950,0.413233,
3.38181,0.415534,
3.49615,0.509916,
3.49993,0.605460,
3.61049,0.609985,
3.49661,0.714656,
4.38135,0.847535,
4.49904,0.847508,
4.61317,0.849757,
4.49566,0.929405,
4.50302,1.03177,
4.38536,1.04431,
4.49958,1.08751,
