"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 2:45:36 PM"


42
X,Y
0.160714,0.987689,
0.278571,0.979735,
0.275000,1.02216,
0.389286,1.01420,
0.392857,0.971780,
0.503571,1.08712,
0.503571,1.01023,
0.507143,0.970455,
0.500000,0.908144,
0.610714,0.979735,
0.607143,1.01553,
0.728571,1.02348,
0.728571,0.982386,
0.835714,1.00492,
1.50357,0.383144,
1.61786,0.115341,
1.61786,0.0609848,
1.50357,0.0265152,
1.50357,0.0821970,
1.39286,0.0861742,
1.38571,0.0424242,
2.50357,0.888258,
2.50357,0.950568,
2.38929,0.981061,
2.50357,1.04337,
2.62143,1.05000,
2.50000,1.21572,
2.50357,1.27140,
3.27143,0.0702652,
3.39286,0.0304924,
3.50000,0.0291667,
3.61429,0.0437500,
3.50357,0.102083,
3.50000,0.180303,
3.61071,0.182955,
4.27143,0.967803,
4.39286,0.934659,
4.49643,0.928030,
4.61429,0.959848,
4.50357,1.00492,
4.50357,1.06591,
4.61429,1.10436,
