"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 3:18:32 PM"


65
X,Y
0.100843,0.0102100,
0.101480,0.0265461,
0.305463,0.0224621,
0.301640,0.0347141,
0.305463,0.0796383,
0.303546,0.0898483,
1.01693,0.167445,
1.01693,0.296091,
1.02336,0.351225,
1.02336,0.359393,
1.01055,0.404317,
1.01055,0.443116,
1.01055,0.473746,
1.01055,0.532964,
3.00377,0.590140,
3.02274,0.714702,
3.02274,0.728997,
3.00377,0.788215,
3.04184,0.845391,
3.04184,0.869895,
3.04184,1.11698,
10.1907,0.845391,
10.1267,0.988331,
10.0632,1.00467,
10,1.04347,
10.0632,1.10064,
10.0632,1.15782,
10,1.47637,
29.9118,1.18641,
29.9118,1.19866,
30.1008,1.28238,
30.1008,1.29667,
30.1008,1.42124,
30.1008,1.47433,
30.1008,1.93991,
99.5811,1.20683,
100.210,1.33139,
98.9560,1.54580,
99.5811,1.55193,
99.5811,1.62952,
100.210,1.68670,
99.5811,1.75817,
297.865,1.37835,
297.865,1.59072,
301.640,1.60910,
299.747,1.71733,
299.747,1.73162,
297.865,1.96237,
295.996,2.19720,
991.639,1.35793,
991.639,1.45799,
1004.21,1.74796,
991.639,1.90928,
997.903,1.92765,
1004.21,1.99504,
997.903,2.15636,
2966.18,1.30076,
2966.18,1.39469,
2966.18,1.43961,
2966.18,1.80718,
3003.77,1.85823,
2966.18,1.98075,
3003.77,2.04201,
2947.56,2.64848,
979.229,2.65869,
