"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 3:16:10 PM"


58
X,Y
0.102121,0.0408401,
0.102121,0.0694282,
0.305463,0.128646,
0.303546,0.206243,
0.303546,0.249125,
0.305463,0.334889,
0.303546,0.349183,
0.303546,0.445158,
0.303546,0.543174,
1.01055,0.122520,
1.01055,0.228705,
1.01055,0.308343,
1.01055,0.341015,
1.01055,0.524796,
1.00421,0.451284,
3.00377,0.200117,
3.02274,0.306301,
3.04184,0.345099,
3.02274,0.387981,
3.04184,0.400233,
3.06105,0.620770,
10.1267,0.424737,
10.1267,0.453326,
10.1267,0.488040,
10.1267,0.524796,
10.0632,0.586056,
30.1008,0.557468,
30.2909,0.649358,
30.1008,0.688156,
29.9118,0.728997,
30.1008,0.835181,
29.9118,0.882147,
100.210,0.845391,
99.5811,0.896441,
100.210,1.10268,
100.210,1.19253,
101.480,1.24767,
100.843,1.34977,
100.210,1.44778,
299.747,1.02509,
297.865,1.15782,
299.747,1.42124,
301.640,1.74183,
299.747,2.25642,
997.903,1.12310,
1004.21,1.26400,
991.639,1.59277,
1004.21,1.64586,
997.903,1.82555,
1004.21,2.18291,
2966.18,1.06797,
3003.77,1.30688,
2984.91,1.48454,
2984.91,1.57847,
2984.91,1.91132,
2966.18,2.41365,
2984.91,3.03851,
991.639,2.90578,
