"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 3:23:09 PM"


41
X,Y
0.0298568,-0.000246449,
0.0298572,0.00208818,
0.100920,0.00181377,
0.100924,0.00765035,
0.302592,0.00973759,
0.300700,0.0155756,
0.998558,0.202076,
1.00543,0.284954,
0.999149,0.291959,
1.00578,0.338651,
1.01864,0.351488,
1.00711,0.539429,
2.99571,0.296381,
3.01646,0.386263,
3.03598,0.407273,
3.01762,0.444629,
2.99968,0.497160,
2.98718,0.821675,
9.94948,0.503893,
10.1491,0.645134,
10.0868,0.668482,
10.0243,0.683659,
10.0614,1.24514,
30.0937,0.880688,
30.2989,0.954227,
30.3075,0.997418,
30.5066,1.03360,
30.3136,1.02777,
30.4209,1.56473,
100.586,1.09637,
100.652,1.19559,
100.061,1.25863,
100.794,1.40921,
102.204,1.60298,
102.337,1.80026,
305.638,1.21168,
302.021,1.32025,
304.206,1.45682,
306.149,1.46499,
302.614,1.61791,
307.049,1.91091,
