"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 3:21:43 PM"


43
X,Y
0.0300467,0.00442139,
0.0298591,0.0114267,
0.100938,0.0286620,
0.100314,0.0450059,
0.100959,0.0601796,
0.100971,0.0788566,
0.299098,0.162659,
0.300982,0.157988,
0.299162,0.195344,
0.297296,0.203516,
0.299197,0.212853,
0.299358,0.294566,
0.995959,0.764724,
1.00888,0.805577,
1.00276,0.840598,
1.00301,0.877952,
1.01035,1.02737,
3.03173,1.15319,
3.06981,1.13218,
3.03010,1.07148,
3.00982,1.00961,
3.00942,0.989767,
10.0845,1.59300,
10.1346,1.38638,
10.1265,1.26498,
10.1260,1.25798,
10.1218,1.19494,
30.3726,1.32310,
30.3763,1.34178,
30.0069,1.40014,
30.1977,1.40481,
30.2098,1.46551,
30.2235,1.53438,
99.7488,1.74307,
100.331,1.66836,
101.481,1.48275,
100.830,1.46407,
100.812,1.43723,
304.270,1.48834,
304.370,1.53853,
304.393,1.55021,
300.992,1.76033,
304.843,1.77433,
