"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 3:33:54 PM"


24
X,Y
1.00078,1.04265,
0.995966,1.11749,
2.00111,0.952096,
2.00137,0.879895,
3.00541,1.01915,
2.99655,0.955753,
4.00120,0.926833,
4.00599,0.858154,
5.00119,0.930490,
5.00171,0.784326,
5.99218,0.906851,
5.98806,0.789743,
6.99219,0.904345,
6.99744,0.707993,
7.99674,0.902720,
8.00201,0.701965,
9.00137,0.879963,
9.00220,0.649271,
9.99256,0.802613,
9.98861,0.636197,
10.9967,0.924258,
10.9929,0.712937,
11.9965,0.957853,
12.0020,0.704268,
