"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 3:36:10 PM"


24
X,Y
0.996207,1.05058,
1.00517,1.08668,
2.00566,0.949455,
2.00125,0.911593,
2.99767,0.646696,
2.99789,0.583300,
3.99325,0.610730,
3.99801,0.550857,
4.99791,0.580049,
4.99816,0.510489,
5.99804,0.544084,
5.98913,0.492133,
6.99804,0.542458,
6.98917,0.480822,
7.99812,0.521461,
7.99837,0.451021,
8.99815,0.512792,
8.99837,0.452918,
9.99294,0.696952,
9.99770,0.637078,
10.9973,0.738472,
10.9930,0.684761,
11.9928,0.735965,
11.9929,0.705148,
