"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 3:41:22 PM"


24
X,Y
0.996322,1.01888,
0.996185,1.05674,
2.01013,0.972349,
1.98728,1.00404,
2.99836,0.452985,
2.99357,0.523425,
3.99413,0.366831,
3.99838,0.449599,
5.00340,0.318540,
4.99865,0.374011,
6.00347,0.296663,
5.99418,0.353014,
6.98986,0.290633,
6.99420,0.347866,
7.99901,0.274920,
7.99879,0.333914,
9.00347,0.298830,
8.99853,0.406251,
9.99755,0.679343,
9.99770,0.637078,
10.9924,0.843251,
10.9831,0.898722,
12.0014,0.870684,
11.9881,0.783512,
