"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 4/28/23, 3:43:08 PM"


24
X,Y
0.991754,1.02504,
1.00564,0.954603,
1.99650,0.969706,
2.00136,0.881656,
2.99468,0.214368,
2.99941,0.162419,
4.00398,0.157272,
3.99961,0.108844,
4.99494,0.143318,
4.99513,0.0896076,
6.00405,0.138172,
5.99514,0.0862210,
7.00407,0.133024,
6.99518,0.0757904,
7.99954,0.126115,
8.00428,0.0732856,
8.99047,0.122727,
8.99067,0.0663752,
10.0023,0.611544,
9.99363,0.504122,
10.9880,0.812433,
10.9930,0.685641,
11.9924,0.859236,
11.9975,0.703387,
